Vendor,Library,No,ID,Formula,MW,Smile,Conc_mM,Solvent,Plate_ID,Plate_well
PrestWick,DrugFragCoreSet,244,Prestw-Frag-1782,C7H8N2O,136.15461,CC(=O)Nc1ccccn1,100,DMSO,PwDF-CoreS-02,F03
PrestWick,DrugFragCoreSet,247,Prestw-Frag-1818,C8H12N2,136.19824,NNCCc1ccccc1,100,DMSO,PwDF-CoreS-02,I03
PrestWick,DrugFragCoreSet,250,Prestw-Frag-1832,C12H15ClN2O2,254.71855,Clc1ccc(OCC(=O)N2CCNCC2)cc1,100,DMSO,PwDF-CoreS-02,L03
PrestWick,DrugFragCoreSet,251,Prestw-Frag-1859,C9H10O2,150.17885,CC(C(=O)O)c1ccccc1,100,DMSO,PwDF-CoreS-02,M03
PrestWick,DrugFragCoreSet,253,Prestw-Frag-1868,C12H17N,175.27599,C(C1CCNCC1)c2ccccc2,100,DMSO,PwDF-CoreS-02,C04
PrestWick,DrugFragCoreSet,254,Prestw-Frag-1869,C13H17N3O,231.29994,O=C1NCN(c2ccccc2)C13CCNCC3,100,DMSO,PwDF-CoreS-02,D04
PrestWick,DrugFragCoreSet,255,Prestw-Frag-1878,C9H8N2,144.17751,Nc1ccnc2ccccc12,100,DMSO,PwDF-CoreS-02,E04
PrestWick,DrugFragCoreSet,257,Prestw-Frag-1887,C12H20N2O,208.306,N(CCNCc1ccc(cc1)OC)(C)C,100,DMSO,PwDF-CoreS-02,G04
PrestWick,DrugFragCoreSet,260,Prestw-Frag-1895,C6H7NO2S,157.19219,NS(=O)(=O)c1ccccc1,100,DMSO,PwDF-CoreS-02,J04
PrestWick,DrugFragCoreSet,264,Prestw-Frag-1924,C13H10F2O,220.22085,OC(c1ccc(F)cc1)c2ccc(F)cc2,100,DMSO,PwDF-CoreS-02,N04
PrestWick,DrugFragCoreSet,268,Prestw-Frag-1961,C8H9NO2,151.16643,ONC(=O)Cc1ccccc1,100,DMSO,PwDF-CoreS-02,F05
PrestWick,DrugFragCoreSet,269,Prestw-Frag-1968,C13H10O3,214.22285,OC(=O)c1ccc(Oc2ccccc2)cc1,100,DMSO,PwDF-CoreS-02,G05
PrestWick,DrugFragCoreSet,271,Prestw-Frag-1993,C12H20N2,192.3066,CCN(CC)CCNc1ccccc1,100,DMSO,PwDF-CoreS-02,I05
PrestWick,DrugFragCoreSet,275,Prestw-Frag-2018,C8H8ClNO,169.61206,CNC(=O)c1ccc(Cl)cc1,100,DMSO,PwDF-CoreS-02,M05
PrestWick,DrugFragCoreSet,278,Prestw-Frag-2031,C11H17N3O,207.27764,CN(C)CCNC(=O)c1ccc(N)cc1,100,DMSO,PwDF-CoreS-02,D06
PrestWick,DrugFragCoreSet,280,Prestw-Frag-2051,C7H6ClNO4S,235.64717,NS(=O)(=O)c1cc(ccc1Cl)C(=O)O,100,DMSO,PwDF-CoreS-02,F06
PrestWick,DrugFragCoreSet,282,Prestw-Frag-2058,C13H18ClN3O2,283.76031,COc1cc(N)c(Cl)cc1C(=O)NC2CCNCC2,100,DMSO,PwDF-CoreS-02,H06
PrestWick,DrugFragCoreSet,287,Prestw-Frag-2100,C15H17N,211.30944,CN(C)C(c1ccccc1)c2ccccc2,100,DMSO,PwDF-CoreS-02,M06
PrestWick,DrugFragCoreSet,288,Prestw-Frag-2108,C8H7F3O,176.13959,COc1ccc(cc1)C(F)(F)F,100,DMSO,PwDF-CoreS-02,N06
PrestWick,DrugFragCoreSet,293,Prestw-Frag-2131,C6H6N2O,122.12752,NC(=O)c1ccccn1,100,DMSO,PwDF-CoreS-02,G07
PrestWick,DrugFragCoreSet,295,Prestw-Frag-2140,C6H6O2S,142.17752,OC(=O)Cc1cccs1,100,DMSO,PwDF-CoreS-02,I07
PrestWick,DrugFragCoreSet,298,Prestw-Frag-2176,C6H5NO3S2,203.23965,OC1=CNS(=O)(=O)c2ccsc12,100,DMSO,PwDF-CoreS-02,L07
PrestWick,DrugFragCoreSet,299,Prestw-Frag-2181,C8H5F3O2,190.12305,OC(=O)c1ccc(cc1)C(F)(F)F,100,DMSO,PwDF-CoreS-02,M07
PrestWick,DrugFragCoreSet,300,Prestw-Frag-2183,C9H8N2,144.17751,c1ccc(cc1)c2c[nH]cn2,100,DMSO,PwDF-CoreS-02,N07
PrestWick,DrugFragCoreSet,301,Prestw-Frag-2185,C14H20O2,220.3143,Cc1c(C)c2OC(C)(C)CCc2c(C)c1O,100,DMSO,PwDF-CoreS-02,C08
PrestWick,DrugFragCoreSet,302,Prestw-Frag-2193,C12H17NO2,207.27479,COc1cc2CCNC(C)c2cc1OC,100,DMSO,PwDF-CoreS-02,D08
PrestWick,DrugFragCoreSet,313,Prestw-Frag-2337,C11H12N4O3S,280.30729,COc1cc(NS(=O)(=O)c2ccc(N)cc2)ncn1,100,DMSO,PwDF-CoreS-02,C09
PrestWick,DrugFragCoreSet,315,Prestw-Frag-2352,C10H6O4,190.15692,OC(=O)C1=CC(=O)c2ccccc2O1,100,DMSO,PwDF-CoreS-02,E09
PrestWick,DrugFragCoreSet,319,Prestw-Frag-2408,C6H4N2O,120.11158,O=C1NC=CC=C1C#N,100,DMSO,PwDF-CoreS-02,I09
PrestWick,DrugFragCoreSet,326,Prestw-Frag-2477,C7H9NO,123.15588,CCOc1ccccn1,100,DMSO,PwDF-CoreS-02,D10
PrestWick,DrugFragCoreSet,327,Prestw-Frag-2484,C14H18O3,234.29776,COC(=O)C(O)(C1CCCC1)c2ccccc2,100,DMSO,PwDF-CoreS-02,E10
PrestWick,DrugFragCoreSet,333,Prestw-Frag-2539,C7H6N2S,150.20327,Sc1nc2ccccc2[nH]1,100,DMSO,PwDF-CoreS-02,K10
PrestWick,DrugFragCoreSet,334,Prestw-Frag-2562,C6H9N3O2S,187.22153,Oc1nsnc1N2CCOCC2,100,DMSO,PwDF-CoreS-02,L10
PrestWick,DrugFragCoreSet,336,Prestw-Frag-2576,C9H9NO3,179.17698,OC(=O)CNC(=O)c1ccccc1,100,DMSO,PwDF-CoreS-02,N10
PrestWick,DrugFragCoreSet,337,Prestw-Frag-2577,C8H8O3,152.15116,OC(=O)COc1ccccc1,100,DMSO,PwDF-CoreS-02,C11
PrestWick,DrugFragCoreSet,339,Prestw-Frag-2579,C8H8O2,136.15176,OC(=O)Cc1ccccc1,100,DMSO,PwDF-CoreS-02,E11
